OMNIWeb Plus Browser Results

Listing for omni_min data from 20170907 to 20170909
Selected parameters:
 1 BX, nT (GSE, GSM)
 2 BY, nT (GSM)
 3 BZ, nT (GSM)
 4 Vx Velocity,km/s
 5 Proton Density, n/cc
 6 AL-index, nT
 7 AU-index, nT
 8 SYM/H, nT
 9 ASY/H, nT

YYYY DOY HR MN      1       2       3       4      5     6     7     8     9 
2017 250  3  2    2.76   -0.47   -6.13  -564.2  13.27   -26   149    39    32
2017 250  3  3    2.30    0.52   -5.42  -556.8  13.82   -29   145    39    32
2017 250  3  4    1.27   -0.56   -3.70  -561.0  14.07   -28   143    38    32
2017 250  3  5    1.86   -1.57   -3.75  -564.3  14.47   -25   143    38    33
2017 250  3  6    1.79   -2.64   -0.70  -566.6  15.58   -19   141    37    32
2017 250  3  7   -0.95   -1.27    6.40  -561.8  16.52   -13   143    38    32
2017 250  3  8   -0.73   -1.29    6.49  -561.8  16.52   -10   136    38    32
2017 250  3  9    0.43   -4.20    4.29  -561.9  14.83   -13   130    39    31
2017 250  3 10    1.16   -5.13   -1.05  -561.9  14.83   -19   133    39    28
2017 250  3 11    0.17   -3.36   -1.28  -567.0  15.00   -24   146    39    28
2017 250  3 12   -0.23   -3.30   -1.88  -567.0  15.00   -29   152    40    28
2017 250  3 13   -0.36   -2.73   -1.82 99999.9 999.99   -28   160    39    28
2017 250  3 14   -1.24   -2.10   -1.98 99999.9 999.99   -23   170    40    29
2017 250  3 15    0.01   -2.48   -2.24 99999.9 999.99   -25   172    41    29
2017 250  3 16    0.45   -3.77   -3.64  -562.9  14.90   -23   174    40    29
2017 250  3 17   -1.93    2.87   -5.15  -562.9  14.90   -26   176    41    29
2017 250  3 18   -1.62    3.55   -4.88  -564.9  14.93   -33   199    41    30
2017 250  3 19   -1.31    0.76   -5.57  -565.3  15.30   -45   215    41    30
2017 250  3 20   -0.87    1.70   -4.03  -563.3  14.28   -57   225    40    30
2017 250  3 21    0.32   -2.21   -2.05  -566.3  14.10   -65   234    40    32
2017 250  3 22    2.52   -5.66   -2.71  -566.4  14.09   -71   252    40    32
2017 250  3 23    3.05   -3.48   -1.52 99999.9 999.99   -69   256    39    30
2017 250  3 24    2.57   -2.22   -1.09  -569.9  14.16   -60   247    37    29
2017 250  3 25    3.12   -3.36   -1.39  -569.8  14.16   -57   236    37    26
2017 250  3 26    3.10   -3.76   -2.16  -568.1  13.39   -63   222    36    27
2017 250  3 27    4.65   -5.28   -3.13  -567.6  13.11   -74   210    35    27
2017 250  3 28    4.81   -6.06   -3.75  -569.2  13.32   -82   205    34    28
2017 250  3 29    4.13   -5.99   -2.56  -569.1  13.33   -84   190    34    29
2017 250  3 30    4.04   -5.66   -3.27  -567.9  13.83   -84   186    34    28
2017 250  3 31    2.29   -3.80   -1.75  -567.8  14.84   -93   183    34    26
2017 250  3 32    1.43   -2.77   -3.81  -570.3  14.87   -95   172    34    28
2017 250  3 33   -0.03    0.47   -4.91  -569.6  13.86   -99   164    34    27
2017 250  3 34   -0.97    1.98   -6.08  -567.2  13.63   -88   171    33    26
2017 250  3 35   -0.67    1.47   -6.57  -566.9  12.93  -101   167    33    26
2017 250  3 36    1.22   -0.38   -7.81  -563.7  12.61   -96   166    33    28
2017 250  3 37    1.57   -1.02   -8.03  -562.0  11.93  -104   182    33    26
2017 250  3 38    1.75   -1.84   -7.83  -563.7  12.03  -114   192    32    28
2017 250  3 39    2.73   -3.57   -8.21  -560.2  11.36  -117   208    31    27
2017 250  3 40    2.87   -3.92   -8.86  -558.8  10.58  -109   213    30    28
2017 250  3 41    3.12   -4.69   -8.10  -559.8  10.33  -115   222    29    28
2017 250  3 42    3.45   -6.74   -6.42  -563.1  10.72  -123   230    29    31
2017 250  3 43    3.34   -6.77   -6.67  -563.0  10.99  -127   252    28    30
2017 250  3 44    3.53   -7.48   -4.50  -560.2  10.71  -126   267    28    31
2017 250  3 45    3.31   -7.29   -1.54  -567.1  12.21  -127   268    28    32
2017 250  3 46    2.86   -7.51   -0.67  -566.8  11.45  -138   267    27    31
